z_hmm_model-Nietsdoen,z_hmm_model-Fietsen,z_hmm_model-Springen,z_hmm_model-Tandenpoetsen,z_hmm_model-Lopen,z_hmm_model-LiftAD,z_hmm_model-Trapaf,z_hmm_model-LiftAU,z_hmm_model-Wandelen,z_hmm_model-Trapop,label
3.920208576289896,-0.7131279258710883,-3.533169589011856,3.7808817837774673,-2.585217256233624,2.9683560370264446,-1.2421670035023786,3.0282380171415593,-0.6733720206132078,-0.2886631685684975,Nietsdoen
3.6766559973086643,-0.7123444209623774,-3.5325816825936895,3.692599249039225,-2.584584088469181,2.7989751134642447,-1.2422193877159362,2.922915023501635,-0.6724536551006831,-0.28674086462537035,Nietsdoen
4.286053461171533,-0.7123701974288962,-3.532523863912374,3.968301764377679,-2.584834877039068,3.101724485304465,-1.2423608932542283,3.1381975484659974,-0.672345668861399,-0.2857333599416178,Nietsdoen
2.0346262218131566,-0.7255947845954888,-3.5384173631055673,2.4221580795638844,-2.5845795724535123,1.5300526735333602,-1.243431096860894,1.3440491890245252,-0.6857279184858799,-0.33359713758512405,Nietsdoen
3.8162991233144536,-0.7147685356984431,-3.534167357596193,3.707758862439242,-2.5865445946017256,2.8899231824580873,-1.2424397505246005,2.9921122349507185,-0.6751201573778965,-0.29246840463158097,Nietsdoen
3.7060650508549013,-0.7130540670421599,-3.532771749976597,3.589027386316941,-2.585062242372835,2.8004071801184685,-1.242534006155395,2.8859761625997407,-0.6729214426287804,-0.28773421302526214,Nietsdoen
3.639158903071112,-0.7131525339601852,-3.5328310508675314,3.6360524067279103,-2.5852930247624206,2.8503511256919745,-1.2425699106853785,2.9755537422562526,-0.672978072537183,-0.2873365888209721,Nietsdoen
4.4416600341087875,-0.7128997418354934,-3.532516344097958,4.003847751474792,-2.58533909106858,3.138832364176317,-1.242784593020875,3.1661006644784893,-0.6724780474555666,-0.2853798920395866,Nietsdoen
4.489224592076448,-0.7145701249894157,-3.533247178103782,3.9545217652400377,-2.58672483047368,3.1541464282483545,-1.2432928767261309,3.1839660586871976,-0.6738612571252611,-0.2878112945083719,Nietsdoen
2.8084682645128187,-0.7154737514968156,-3.537242835022163,3.136772971693353,-2.5849399347556044,2.551230270945313,-1.2390533375100572,2.5733725649791586,-0.6793248378842226,-0.31023649030013994,Nietsdoen
